cache_key,cache_hit,order,dataset_index,image_id,image_path,reference_captions,prompt_id,prompt_name,prompt_text,caption,clip_score,siglip_score,caption_len,generic_flag,temperature,top_p,max_new_tokens,caption_model,seed,split,baseline_clip_score,baseline_siglip_score,delta_clip,delta_siglip,clip_win,siglip_win
91a4c6cdde7dc5d9,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",baseline,Baseline,Describe the image in one concise sentence.,A person in a red shirt is placing raw burger patties onto a charcoal grill in a grassy backyard.,0.33704349398612976,0.18682098388671875,19,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.0,0.0,False,False
29ff41c01a3b82e9,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",msf_concrete_context,MSF concrete context,"Start with the main visible subject. In the same sentence, describe the subject's visible action, one or two concrete attributes, and the surrounding scene context that helps identify the image.",A person in a red shirt and blue jeans is placing raw burger patties onto a black charcoal grill in a grassy backyard.,0.3409712612628937,0.19907541573047638,23,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.003927767276763916,0.01225443184375763,True,True
2bce96bf93a3b3cf,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",msf_object_relation,MSF object relation,"Describe the image in one sentence by starting with the main subject, then clearly mentioning the visible object they interact with and the scene where the interaction happens.",A person in a red shirt is placing raw burger patties onto a black charcoal grill in a grassy outdoor setting.,0.3389505445957184,0.18885484337806702,21,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.001907050609588623,0.0020338594913482666,True,True
b7765bcd49a187b2,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",msf_no_minor_details,MSF no minor details,"Describe the main subject first, then the visible action and setting. Include only details that make the image more identifiable, and avoid minor appearance details.","A person is placing raw hamburger patties onto a round, black charcoal grill. The individual is wearing a red shirt and blue jeans and is leaning over the grill, using their hands to position the patties on the grates. The scene takes place outdoors on a grassy lawn, with the grill situated on the ground",0.3618234097957611,0.1981423944234848,55,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.024779915809631348,0.011321410536766052,True,True
38c1f050a66a8f85,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",supported_scene_grouping,Supported scene grouping,"Use concrete visible evidence to describe the image, but also use a clear scene-level phrase when the objects, clothing, setting, or activity visibly support it. Avoid unsupported identities or intentions.","A person wearing a red shirt and blue jeans is placing raw hamburger patties onto the grill grate of a black, round charcoal grill in a grassy outdoor setting. The person’s hands are visible as they position the patties, and a metal tool, likely a spatula or tongs, rests on the edge of",0.38228827714920044,0.20300592482089996,53,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.04524478316307068,0.016184940934181213,True,True
d6665e15e41a3324,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",careful_semantic_caption,Careful semantic caption,"Write one specific caption using visible subjects, objects, actions, and setting. Use semantic terms such as event, costume, market, meal, sport, or display only when they are clearly supported by the image.","A person in a red shirt and jeans is placing raw burger patties onto a charcoal grill in a grassy backyard, preparing for a meal.",0.3600756525993347,0.18927507102489471,25,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.023032158613204956,0.0024540871381759644,True,True
4ec2d3b3be756072,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",grounded_but_not_literal,Grounded but not literal,"Describe what is visibly present, but do not reduce the image to a literal object list. Group visible evidence into a natural scene description while avoiding guesses about hidden intent.","A person, wearing a red shirt and blue jeans, is standing over a black, round charcoal grill placed on a grassy lawn. Their hands are actively placing raw, round burger patties onto the grill grate. A metal tool, likely a spatula or tongs, rests against the side of the grill. To",0.33648812770843506,0.1990579068660736,51,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,-0.0005553662776947021,0.012236922979354858,False,True
77753c8bf7f408b3,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",semantic_with_uncertainty_control,Semantic with uncertainty control,"Write a caption that combines visible details with supported scene understanding. Do not confidently name ambiguous object states, identities, or emotions unless they are visually clear.","A person in a red shirt and blue jeans carefully places raw burger patties onto the grates of a black charcoal grill in a grassy backyard, with the grill lid resting nearby.",0.3703438341617584,0.20420192182064056,32,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.03330034017562866,0.017380937933921814,True,True
13dd1d7f2ecba183,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",visual_keyword_sentence,Visual keyword sentence,"Write one fluent caption containing the most important visible nouns, actions, colors, and scene words. Avoid vague mood descriptions and avoid unnecessary minor details.",A person in a red shirt and blue jeans places raw burger patties onto a black charcoal grill in a grassy backyard.,0.3449384570121765,0.19863444566726685,22,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.007894963026046753,0.011813461780548096,True,True
664de27c1cd83d1a,False,0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",siglip_visible_alignment,SigLIP visible alignment,"Write a visually aligned caption. Prioritize concrete visible subjects, objects, actions, colors, spatial relations, and setting over abstract descriptions.","A person in a red shirt and blue jeans is placing two raw, round, pinkish-brown burger patties onto the grates of a black, round charcoal grill. The grill sits on a grassy lawn, with its lid resting nearby on the left. The person’s hands are positioned over the grill, actively",0.3890361189842224,0.21034009754657745,50,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test,0.33704349398612976,0.18682098388671875,0.05199262499809265,0.023519113659858704,True,True
