split_id,method_id,run_id,prompt_id,prompt_name,order,dataset_index,image_id,image_relpath,caption,source_gallery_index,hardest_negative_gallery_index,hardest_negative_image_id,positive_score,hardest_negative_score,margin,rank,hit@1,hit@5,hit@10,reciprocal_rank,prompt_text,model,scorer
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,0,28282,flickr30k_test_028282,images/flickr30k/flickr30k_test_028282.jpg,"A handball player in a green jersey leaps dynamically to throw the ball, his body stretched in mid-air as a defender in black and yellow attempts to block him. The intense action unfolds on a polished indoor court, capturing the athleticism and competitive spirit of the sport.",0,400,flickr30k_test_015182,0.32399383187294006,0.29712361097335815,0.02687022089958191,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,1,27821,flickr30k_test_027821,images/flickr30k/flickr30k_test_027821.jpg,"A determined female runner, Mary, competes in a marathon, her focused expression and athletic gear reflecting the intensity of the race as spectators watch from the sidelines.",1,545,flickr30k_test_023555,0.3010295629501343,0.303620845079422,-0.0025912821292877197,2,0,1,1,0.5,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,2,1853,flickr30k_test_001853,images/flickr30k/flickr30k_test_001853.jpg,"A couple strolls along the sandy beach, enjoying the ocean waves and seagulls, with seaweed scattered across the shore under a clear sky.",2,382,flickr30k_test_028650,0.3100155293941498,0.2647798955440521,0.045235633850097656,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,3,3001,flickr30k_test_003001,images/flickr30k/flickr30k_test_003001.jpg,"A breakdancer in a red shirt and camouflage shorts executes a dynamic floor move, showcasing agility and style on a concrete surface.",3,684,flickr30k_test_016367,0.33567604422569275,0.2898482084274292,0.04582783579826355,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,4,2781,flickr30k_test_002781,images/flickr30k/flickr30k_test_002781.jpg,"A crowd of concertgoers dances and captures the moment under vibrant green stage lights, their energy pulsing with the music.",4,583,flickr30k_test_026748,0.2655082643032074,0.2917112410068512,-0.0262029767036438,4,0,1,1,0.25,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,5,11831,flickr30k_test_011831,images/flickr30k/flickr30k_test_011831.jpg,"Silhouetted climbers stand atop a mountain peak, gazing at the radiant sun piercing through a sea of clouds below.",5,1501,flickr30k_test_011500,0.3215794861316681,0.2708509564399719,0.05072852969169617,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,6,27377,flickr30k_test_027377,images/flickr30k/flickr30k_test_027377.jpg,"A singer with long blonde hair performs on stage, strumming an acoustic guitar and singing into a microphone, illuminated by dramatic blue lighting and glowing orb decorations.",6,1929,flickr30k_test_028272,0.3194696307182312,0.28985145688056946,0.029618173837661743,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,7,5540,flickr30k_test_005540,images/flickr30k/flickr30k_test_005540.jpg,"A group of people in matching red shirts march together in a street demonstration, umbrellas in hand and determination in their steps.",7,999,flickr30k_test_001976,0.29975858330726624,0.29179641604423523,0.007962167263031006,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,8,24116,flickr30k_test_024116,images/flickr30k/flickr30k_test_024116.jpg,"An elderly man carefully writes on a stone pavement while a young girl in a colorful dress watches curiously, capturing a moment of cultural tradition and intergenerational connection in a serene park setting.",8,682,flickr30k_test_001772,0.34219643473625183,0.2996934652328491,0.04250296950340271,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,9,26508,flickr30k_test_026508,images/flickr30k/flickr30k_test_026508.jpg,"A graceful rhythmic gymnast leaps through the air, wielding a vibrant pink ribbon in a dazzling performance, her colorful costume and dynamic pose capturing the elegance and athleticism of the sport.",9,760,flickr30k_test_010433,0.3224453330039978,0.27542147040367126,0.04702386260032654,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,10,21945,flickr30k_test_021945,images/flickr30k/flickr30k_test_021945.jpg,"A weary firefighter, helmet askew and uniform stained, leans against a pole outside a Donatos pizza shop, his gaze downcast in quiet exhaustion after a long shift.",10,834,flickr30k_test_012949,0.3039356768131256,0.27411314845085144,0.02982252836227417,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,clip
