split_id,method_id,run_id,prompt_id,prompt_name,order,gallery_index,image_id,caption
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,0,0,flickr30k_test_028282,"A male handball player in a green and black uniform, with “Voite” on his chest, is captured mid-air in a dynamic leap, extending his right arm to throw a handball. He is being closely defended by an opponent in a black and yellow uniform, who has his left arm raised in an attempt"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,1,1,flickr30k_test_027821,"A female runner, identified by the name “MARY” on her race bib, is captured mid-stride during a marathon, her focused expression and forward motion conveying intense physical effort. She wears a red and white Adidas tank top, dark running shorts, and a black wristwatch, with her hair pulled back in a practical"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,2,2,flickr30k_test_001853,"A shirtless man in blue patterned swim trunks and a woman in a two-piece bikini stand on a sandy beach, facing each other near the water’s edge. The man holds a blue water bottle, and the woman holds a yellow and blue object, possibly a toy or beach item. Behind them, waves roll"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,3,3,flickr30k_test_003001,"A breakdancer in a red shirt and camouflage shorts performs a low, grounded move on a white, textured floor, balancing on one hand while extending his other leg and arm for stability; a wooden practice board rests against his hip, and a glass of orange juice sits nearby on the grass."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,4,4,flickr30k_test_002781,"A crowd of concertgoers, many with raised hands and phones, watches a performance on a stage bathed in green light, with one woman in a pink hat and braids prominently visible in the foreground."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,5,5,flickr30k_test_011831,"A group of hikers stands in silhouette atop a high mountain ridge, silhouetted against a brilliant, starburst-lit sun that dominates the clear blue sky. Below them, a vast sea of clouds stretches to the horizon, creating a dramatic contrast with the dark, rocky terrain they occupy. The scene captures a"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,6,6,flickr30k_test_027377,"A woman with long, light-brown hair is performing on stage, singing into a microphone while holding an acoustic guitar. She is wearing a shimmering, sequined, short-sleeved top. Behind her, two large, glowing blue spherical lights hang against a dark backdrop, illuminating the scene with a cool,"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,7,7,flickr30k_test_005540,"A group of people, many wearing red shirts, walk along a paved street under a partly cloudy sky; a woman in the foreground, also in a red shirt with “COALITION” printed on it, adjusts her hair while carrying a small bag, and nearby, a man in a red shirt and khaki shorts"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,8,8,flickr30k_test_024116,"An elderly man with white hair, wearing a white shirt and dark pants, is bent over and carefully writing or drawing on a gray stone pavement with a brush and a small container of ink. Beside him, a young girl in a colorful blue and pink patterned dress stands with her hands on her hips, observing him"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,9,9,flickr30k_test_026508,"A young rhythmic gymnast in a bright pink and green leotard is captured mid-air, executing a dynamic leap while gracefully wielding a long, magenta ribbon that arcs dramatically above her. She is inside a wooden-paneled gymnasium, with a basketball hoop visible in the background, and a digital scoreboard showing"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,10,10,flickr30k_test_021945,"A firefighter, wearing a helmet and full turnout gear, stands on a sidewalk near a street corner, looking down with a somber expression. Behind him, a black pole with a yellow directional sign and a green awning for a ""Donatos"" pizza shop are visible. A red caution tape with Cyrillic text is"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,11,11,flickr30k_test_027978,"A mountain biker in a pink shirt and full protective gear leans sharply into a turn on a dirt trail, kicking up dust as they navigate a forested, root-choked path."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,12,12,flickr30k_test_010097,"A uniformed police officer stands on a city street, holding a camera and appearing to photograph a dark gray sedan parked on the side of the road. The scene is set in an urban environment with multi-story buildings featuring ornate facades, overhead utility lines, and a blue bus visible in the background. A wooden barrier"
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,observer_specific_supported,Observer Specific Supported,13,13,flickr30k_test_008243,"A woman in a pink cardigan and dark skirt leans against a stone wall, holding a dark bag, while a young boy in a blue and white jacket sits on a low stone block nearby, focused on a small object in his hands. Standing beside them, a man in a blue work uniform and cap holds a bro"
