image_id,prompt_id,siglip_score,baseline_siglip_score,delta_siglip,caption
1326,observer_subjects_objects_setting,0.2784283757209778,0.2511925995349884,0.02723577618598938,"A man in a sports jersey stands beneath a cluster of directional signs pointing to various Australian cities and landmarks, holding a megaphone in one hand and a black umbrella in the other, as if posing for a photo or participating in a public event. Behind him, a brick building with ivy-covered walls and a stone"
8484,semantic_with_uncertainty_control,0.1741763353347778,0.1666999608278274,0.007476374506950406,"Shoppers navigate a well-lit supermarket aisle, with one man in a dark suit carrying a blue shopping basket, while others browse nearby shelves stocked with goods and chilled items under bright fluorescent lights."
12623,main_subject_first,0.1758879870176315,0.1681913584470749,0.007696628570556613,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats."
13268,observer_subjects_objects_setting,0.2636514604091644,0.2382384836673736,0.02541297674179077,"A young boy in a historical costume, complete with a tricorn hat and red coat, holds a replica rifle while being assisted by another child who lifts the hat off his head. They stand near a table covered with camouflage fabric, displaying military gear and equipment, including helmets and bags. An adult in a military-style jacket"
13781,caption_like_human_observer,0.1731349378824234,0.1363967061042785,0.03673823177814489,"A group of friends is gathered around a dining table, sharing a lively and convivial meal. Several people are actively eating, laughing, and interacting; one woman pours a beverage from a pitcher into a glass, while others gesture and smile. The table is laden with food, including a large green salad bowl, plates with"
15922,main_subject_first,0.2534483969211578,0.2296952158212661,0.02375318109989169,"A smiling man with a beard is driving a red, open-frame dune buggy labeled ""Moto Rent Colombia"" on a paved road near a covered outdoor rental area with other vehicles and buildings in the background."
16753,observer_identifiable_scene,0.2608920931816101,0.2179586142301559,0.04293347895145422,"A smiling Black woman stands in an office or medical facility, wearing a light-yellow, oversized plastic gown covered in handwritten signatures and drawings, with her arms spread wide to display it. The gown, likely a surgical or protective garment, is decorated with numerous autographs and doodles, suggesting it was a gift or keepsake"
24836,caption_like_human_observer,0.2577659785747528,0.182247519493103,0.07551845908164981,"A group of young people, mostly wearing blue uniforms, are gathered on a stone ledge outside a building, appearing to be students taking a break. One woman in a black top and shorts sits alone on the edge, talking on her phone. The scene suggests a moment of casual downtime in an institutional or campus setting, with"
27670,semantic_with_uncertainty_control,0.2042019218206405,0.1868209838867187,0.017380937933921814,"A person in a red shirt and blue jeans carefully places raw burger patties onto the grates of a black charcoal grill in a grassy backyard, with the grill lid resting nearby."
29171,observer_specific_supported,0.1622068732976913,0.1389953643083572,0.02321150898933408,"A golfer, wearing a navy blue shirt, beige pants, and a white cap, is captured mid-swing on a lush green golf course, his body twisted in the follow-through motion as he strikes the ball. The scene is set on a well-manicured fairway bordered by tall trees, with spectators visible"
