image_id,prompt_id,clip_score,baseline_clip_score,delta_clip,caption
1326,semantic_with_uncertainty_control,0.3484712243080139,0.3434661626815796,0.005005061626434326,"A man in a sports jersey stands beneath a cluster of directional signs, holding a megaphone in one hand and a black umbrella in the other, seemingly preparing to shout or direct attention in front of a historic brick building."
8484,observer_visible_evidence_supported,0.3117973208427429,0.2797788381576538,0.03201848268508911,"Inside a brightly lit supermarket aisle, a group of shoppers navigates between refrigerated displays and stocked shelves. In the foreground, a man in a dark blazer and light shirt walks purposefully toward the camera, carrying a blue shopping basket. To his left, another shopper in a yellow shirt and jeans stands with a brown"
12623,main_subject_first,0.3606234788894653,0.3427976071834564,0.017825871706008856,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats."
13268,observer_important_visible_elements,0.4024450480937958,0.3698818981647491,0.032563149929046686,"A young boy in a historical costume, complete with a tricorn hat and red coat, holds a replica rifle while being assisted by another child who adjusts his hat. They stand near a table covered with military gear and camouflage fabric, with adults in military-style clothing nearby, suggesting a reenactment or historical demonstration event"
13781,observer_specific_supported,0.3535069227218628,0.3043276369571686,0.049179285764694214,"A group of friends is gathered around a dining table, sharing a lively meal together. A woman in a striped top is laughing while eating, while another woman with dark hair pours a beverage from a pitcher into a glass. A man in a yellow shirt is also laughing, and another man on the left is holding a fork"
15922,observer_supported_scene_terms,0.3127071261405945,0.3000148236751556,0.012692302465438898,"A man with short dark hair and a beard, wearing a green t-shirt and shorts, is seated in the driver’s seat of a red, open-frame dune buggy. He is smiling and looking toward the camera, with his right hand on the steering wheel and his left hand resting on the vehicle’s frame. The"
16753,observer_specific_supported,0.3881238400936126,0.3234077095985412,0.06471613049507141,"A smiling Black woman stands in an office environment, wearing a light yellow, oversized plastic gown that is covered in handwritten signatures and drawings, suggesting it has been a gift or keepsake from colleagues. Her arms are spread wide, displaying the decorated garment. Behind her, the office contains standard furnishings including filing cabinets, a desk"
24836,observer_visible_evidence_supported,0.3427893817424774,0.3175976574420929,0.02519172430038452,"A group of young people, mostly wearing matching blue shirts, are gathered on a low stone ledge outside a modern building, appearing to be students taking a break. One woman in a black top and shorts sits alone on the right, talking on her phone. The scene suggests a moment of casual downtime, possibly between classes,"
27670,observer_grounded_supported,0.389630377292633,0.3370434939861297,0.052586883306503296,"A person wearing a red shirt and blue jeans is carefully placing raw hamburger patties onto the grates of a black, round charcoal grill in a grassy backyard. The grill lid rests nearby on the grass, and the person’s hands are positioned over the patties, suggesting they are in the process of starting a barbecue"
29171,observer_best_plus_setting,0.3220511078834533,0.3007171750068664,0.021333932876586914,"A golfer, wearing a navy blue shirt, beige pants, and a white cap, is captured mid-swing on a lush, green golf course, with trees and spectators visible in the background."
