order,dataset_index,image_id,image_path,reference_captions,seed,split,prompt_id,prompt_name,prompt_text,caption,clip_score,siglip_score,caption_len,generic_flag,temperature,top_p,max_new_tokens,caption_model,cache_version,cache_key,cache_hit,baseline_clip_score,baseline_siglip_score,delta_clip,delta_siglip,clip_win,siglip_win
0,4402,4402,results/generalization_100_seed1/samples/images/000_4402.jpg,"[""A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side."", ""An old man in a green shirt is walking down a paved path with three small children."", ""A man and three kids walk up a paved hill."", ""A Family going for a walk in a park."", ""A family walks through a park.""]",1,test,baseline,Baseline,Write a caption for this image.,"A child in a pink shirt walks beside a yellow tricycle under a canopy of lush green trees, with a guardian nearby on a quiet, tree-lined road.",0.3248034119606018,0.1879691183567047,27,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,7af7c5a9e58a8db112fca95a501a9c537b9f1e8c,False,0.3248034119606018,0.1879691183567047,0.0,0.0,False,False
0,4402,4402,results/generalization_100_seed1/samples/images/000_4402.jpg,"[""A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side."", ""An old man in a green shirt is walking down a paved path with three small children."", ""A man and three kids walk up a paved hill."", ""A Family going for a walk in a park."", ""A family walks through a park.""]",1,test,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","A young child in a pink shirt walks beside a yellow tricycle with a canopy, while an adult in a green shirt follows behind on a tree-lined, paved path. A banner hangs overhead, and a paved walkway with hexagonal stones runs parallel to the road.",0.34346991777420044,0.18996109068393707,45,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,23b40f65006d66b774affbed4f67ef2fffc3a673,False,0.3248034119606018,0.1879691183567047,0.018666505813598633,0.001991972327232361,True,True
1,18651,18651,results/generalization_100_seed1/samples/images/001_18651.jpg,"[""A man in light brown hat, gray coat and a blue vest with a scooter built with baskets full of oranges"", ""A farmer is taking his oranges to the market to sell."", ""A man is standing with vegetables in barrels."", ""An old foreign man selling oranges."", ""Mexican man peddling fresh fruit.""]",1,test,baseline,Baseline,Write a caption for this image.,"A street vendor in a straw hat and worn jacket tends to his fruit stand, surrounded by baskets of oranges and melons, with a bicycle parked nearby against a weathered orange wall.",0.4022236764431,0.1965436488389969,32,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,3e842e59cc21d43bf44f6568a5d6b37ae14a4927,False,0.4022236764431,0.1965436488389969,0.0,0.0,False,False
1,18651,18651,results/generalization_100_seed1/samples/images/001_18651.jpg,"[""A man in light brown hat, gray coat and a blue vest with a scooter built with baskets full of oranges"", ""A farmer is taking his oranges to the market to sell."", ""A man is standing with vegetables in barrels."", ""An old foreign man selling oranges."", ""Mexican man peddling fresh fruit.""]",1,test,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","An older man wearing a straw hat and a jacket stands beside a bicycle loaded with baskets of oranges, tending to his produce in a sunlit street corner against a weathered orange wall.",0.40861910581588745,0.22769086062908173,33,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,17f7e9539dd9ef4ab08cc1c6b585edcdbf3311f4,False,0.4022236764431,0.1965436488389969,0.006395429372787476,0.03114721179008484,True,True
2,27768,27768,results/generalization_100_seed1/samples/images/002_27768.jpg,"[""The redheaded girl giggles happily as she swings her pillow at her opponent during a recent pillow fight."", ""A lady in a red shirt with red-hair laugh while throwing a pillow over her left shoulder."", ""A woman with red-hair swings a pillow and laughs."", ""A young redheaded woman laughs at something."", ""A redhead girl in a pillow fight.""]",1,test,baseline,Baseline,Write a caption for this image.,"A vibrant red-haired woman in a bold red sweatshirt laughs joyfully as she playfully tosses a pillow, capturing a moment of spontaneous, carefree fun in a bustling urban setting.",0.3421879708766937,0.23181748390197754,29,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,eaeb617ecb48862952035e4af5f230568a6a2af1,False,0.3421879708766937,0.23181748390197754,0.0,0.0,False,False
2,27768,27768,results/generalization_100_seed1/samples/images/002_27768.jpg,"[""The redheaded girl giggles happily as she swings her pillow at her opponent during a recent pillow fight."", ""A lady in a red shirt with red-hair laugh while throwing a pillow over her left shoulder."", ""A woman with red-hair swings a pillow and laughs."", ""A young redheaded woman laughs at something."", ""A redhead girl in a pillow fight.""]",1,test,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","A woman with vibrant red, curly hair, wearing a red sweatshirt, is visibly laughing or smiling broadly while holding a light-colored pillow or cushion over her shoulder, seemingly in a playful or celebratory moment. She is outdoors in what appears to be a public space, possibly during a gathering or event, with other people",0.3890605866909027,0.24200019240379333,54,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,c04ab501ae62a37b5cca2b13e2a26d12a2f8651f,False,0.3421879708766937,0.23181748390197754,0.046872615814208984,0.010182708501815796,True,True
3,26288,26288,results/generalization_100_seed1/samples/images/003_26288.jpg,"[""A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand."", ""Black male dressed like he maybe homeless hovering over food."", ""A man cutting and skinning a fruit that has green skin."", ""A man is chopping up food on the ground."", ""A man is carving a melon.""]",1,test,baseline,Baseline,Write a caption for this image.,"A vendor crouches beside his vibrant stall, skillfully preparing and displaying fresh jackfruit slices on banana leaves, with a whole fruit and colorful produce in the background.",0.37797313928604126,0.22013898193836212,27,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,99d7042278034b289c032b340ddbec34ec81d488,False,0.37797313928604126,0.22013898193836212,0.0,0.0,False,False
3,26288,26288,results/generalization_100_seed1/samples/images/003_26288.jpg,"[""A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand."", ""Black male dressed like he maybe homeless hovering over food."", ""A man cutting and skinning a fruit that has green skin."", ""A man is chopping up food on the ground."", ""A man is carving a melon.""]",1,test,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","An older man in a cap and brown shirt crouches on dirt ground beside a vibrant market stall, carefully slicing open a large, green jackfruit with a knife. The fruit’s pale, segmented flesh and scattered seeds lie on a bed of broad green leaves, while a whole jackfruit rests nearby. Behind him,",0.35233885049819946,0.25777900218963623,52,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,852dfd1d1cf7288211dea0576ae4ef4def9f9469,False,0.37797313928604126,0.22013898193836212,-0.025634288787841797,0.03764002025127411,False,True
4,25027,25027,results/generalization_100_seed1/samples/images/004_25027.jpg,"[""A woman in turquoise dress and veil, a woman in orange print dress and blue veil, and a woman in yellow dress and violet veil, seated next to one another and viewed from behind."", ""Three women with headscarves and bright clothing take a ride in a rickshaw."", ""Women in Afghanistan who must cover themselves."", ""Three women are riding in a carriage together."", ""Three women are riding in a cart.""]",1,test,baseline,Baseline,Write a caption for this image.,"Three women in vibrant headscarves sit together on a weathered green bench, their colorful attire contrasting with the bustling, everyday backdrop of a lively street scene.",0.32936257123947144,0.21422214806079865,26,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,d834af1d54625f9fc59510ddfd53cb4f33f2bbe0,False,0.32936257123947144,0.21422214806079865,0.0,0.0,False,False
4,25027,25027,results/generalization_100_seed1/samples/images/004_25027.jpg,"[""A woman in turquoise dress and veil, a woman in orange print dress and blue veil, and a woman in yellow dress and violet veil, seated next to one another and viewed from behind."", ""Three women with headscarves and bright clothing take a ride in a rickshaw."", ""Women in Afghanistan who must cover themselves."", ""Three women are riding in a carriage together."", ""Three women are riding in a cart.""]",1,test,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","Three women, each wearing a brightly colored headscarf — teal, orange with floral patterns, and magenta — are seated closely together on a weathered green metal bench, their backs to the viewer. The woman in the center, in the orange patterned scarf, has her right hand resting on the bench’s back",0.32262521982192993,0.1941365897655487,51,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,clip_siglip_generalization_v1,df41de6fcc02ce0a8293fa023d899fc9cd353413,False,0.32936257123947144,0.21422214806079865,-0.006737351417541504,-0.02008555829524994,False,False
