image_id,prompt_id,siglip_score,baseline_siglip_score,delta_siglip,caption
1326,semantic_with_uncertainty_control,0.2751148343086242,0.2511925995349884,0.02392223477363581,"A man in a sports jersey stands beneath a cluster of directional signs, holding a megaphone in one hand and a black umbrella in the other, seemingly preparing to shout or direct attention in front of a historic brick building."
8484,semantic_with_uncertainty_control,0.1741763353347778,0.1666999608278274,0.007476374506950406,"Shoppers navigate a well-lit supermarket aisle, with one man in a dark suit carrying a blue shopping basket, while others browse nearby shelves stocked with goods and chilled items under bright fluorescent lights."
12623,observer_scene_specific,0.1961447447538375,0.1681913584470749,0.027953386306762612,"In the sun-drenched arena, a powerful black bull with long, curved horns bursts from the yellow chute, its hooves kicking up a cloud of dust as it charges forward, while its rider—a cowboy in a plaid shirt and wide-brimmed hat—clings to the saddle, gripping the reins with one"
13268,caption_like_human_observer,0.257981538772583,0.2382384836673736,0.019743055105209406,"A young boy in a historical costume, complete with a tricorn hat and red coat, holds a replica rifle while being assisted by another child who adjusts his hat. They stand near a table covered with military gear and camouflage fabric, with adults in period and modern attire nearby, suggesting a reenactment or historical demonstration"
13781,caption_like_human_observer,0.1731349378824234,0.1363967061042785,0.03673823177814489,"A group of friends is gathered around a dining table, sharing a lively and convivial meal. Several people are actively eating, laughing, and interacting; one woman pours a beverage from a pitcher into a glass, while others gesture and smile. The table is laden with food, including a large green salad bowl, plates with"
15922,main_subject_first,0.2534483969211578,0.2296952158212661,0.02375318109989169,"A smiling man with a beard is driving a red, open-frame dune buggy labeled ""Moto Rent Colombia"" on a paved road near a covered outdoor rental area with other vehicles and buildings in the background."
16753,observer_subject_action_objects,0.264272004365921,0.2179586142301559,0.04631339013576513,"A smiling Black woman stands in a hospital or medical office, proudly displaying a light-yellow, oversized surgical gown that’s covered in handwritten signatures and drawings from patients or staff. With her arms spread wide, she presents the garment as a cherished keepsake, likely commemorating a special event or milestone. The setting includes typical office"
24836,observer_identifying_details,0.2805798053741455,0.182247519493103,0.09833228588104251,"A group of young people in matching blue scrubs sit and stand along a concrete ledge outside a brick-and-stone building, while a woman in a black top and shorts sits alone on the edge, talking on her phone — a quiet contrast to the clustered group, framed by a lamppost and the building’s windows"
27670,observer_scene_specific,0.2107365429401397,0.1868209838867187,0.023915559053420993,"A person in a red shirt and blue jeans carefully places two raw, round burger patties onto the grates of a black charcoal grill, their hands positioned just above the hot surface as they prepare for cooking, with the grill lid resting nearby on the grassy backyard lawn."
29171,observer_subject_action_objects,0.159841850399971,0.1389953643083572,0.020846486091613797,"A golfer, dressed in a navy blue polo and khaki pants, is captured mid-swing on a lush, tree-lined golf course, his body coiled with power as he follows through with his club. The scene is set on a bright, clear day, with spectators visible in the background along the fairway"
