image_id,prompt_id,clip_score,baseline_clip_score,delta_clip,caption
1326,semantic_with_uncertainty_control,0.3484712243080139,0.3434661626815796,0.005005061626434326,"A man in a sports jersey stands beneath a cluster of directional signs, holding a megaphone in one hand and a black umbrella in the other, seemingly preparing to shout or direct attention in front of a historic brick building."
8484,caption_like_human_observer,0.3063494861125946,0.2797788381576538,0.026570647954940796,"Inside a brightly lit supermarket aisle, a group of shoppers navigates between refrigerated displays and stocked shelves. In the foreground, a man in a dark suit and light shirt walks purposefully forward, carrying a blue shopping basket. Behind him, a woman in a beige jacket and another in a green coat follow, while a"
12623,main_subject_first,0.3606234788894653,0.3427976071834564,0.017825871706008856,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats."
13268,observer_identifying_details,0.4048160314559936,0.3698818981647491,0.03493413329124451,"A young boy in a Revolutionary War-style costume, complete with tricorn hat and red coat, stands proudly holding a replica rifle, while another child in a brown jacket lifts the hat off his head in a playful gesture. Behind them, adults in military-style gear observe, and a table draped in camouflage cloth holds additional gear"
13781,main_subject_first,0.3369243741035461,0.3043276369571686,0.03259673714637751,"A group of friends is gathered around a dining table, laughing and enjoying a lively meal together, with plates of food, drinks, and a large salad bowl on the table."
15922,important_visual_elements,0.3340758383274078,0.3000148236751556,0.0340610146522522,"A smiling man is seated and gripping the steering wheel of a red, open-frame dune buggy labeled ""Moto Rent Colombia,"" positioned in front of a rental shop with other vehicles visible, clearly indicating a recreational vehicle rental scene."
16753,caption_like_human_observer,0.3613135516643524,0.3234077095985412,0.03790584206581121,"A smiling Black woman stands in an office or medical facility, wearing a light yellow, oversized plastic gown covered in handwritten signatures and drawings. Her arms are spread wide, displaying the decorated garment. The setting includes typical office furniture like filing cabinets, a desk, and a framed picture on the wall, suggesting a workplace environment."
24836,observer_scene_specific,0.3574207723140716,0.3175976574420929,0.039823114871978704,"A group of young men in matching blue scrubs huddle together on a concrete ledge outside a modern institutional building, while a woman in a black top and shorts sits alone nearby, casually chatting on her phone — a quiet contrast between communal focus and individual distraction in a sunlit urban courtyard."
27670,caption_like_human_observer,0.3778698742389679,0.3370434939861297,0.04082638025283819,"A person in a red shirt and blue jeans is carefully placing raw hamburger patties onto the grill grate of a black charcoal grill in a grassy backyard. The grill lid rests nearby on the grass, and the person’s hands are positioned over the patties, suggesting they are in the process of starting a barbecue."
29171,observer_scene_specific,0.3293249011039734,0.3007171750068664,0.02860772609710699,"A golfer in a navy blue top and khaki pants, wearing a white cap with a blue logo, executes a powerful swing on a lush, tree-lined fairway at what appears to be the Pebble Beach Golf Links, with spectators visible along the elevated grassy ridge in the background."
