image_id,prompt_id,siglip_score,baseline_siglip_score,delta_siglip,caption
1326,semantic_with_uncertainty_control,0.2751148343086242,0.2511925995349884,0.02392223477363581,"A man in a sports jersey stands beneath a cluster of directional signs, holding a megaphone in one hand and a black umbrella in the other, seemingly preparing to shout or direct attention in front of a historic brick building."
8484,clip_friendly,0.1754754930734634,0.1666999608278274,0.008775532245636014,"Shoppers browse and walk through a well-lit supermarket aisle, with one man in a suit carrying a blue basket, surrounded by stocked shelves and refrigerated displays."
12623,branch_distinctive_object,0.1862073540687561,0.1681913584470749,0.018015995621681213,"A rider on a black bull with large horns is bucking inside a yellow metal chute at a rodeo, kicking up dust as spectators watch from behind the fence."
13268,main_subject_first,0.2483934462070465,0.2382384836673736,0.010154962539672907,"A young boy dressed in a historical military costume, complete with a tricorn hat and red coat, enthusiastically holds a replica rifle while standing beside a table covered in military gear, with other children and adults in similar attire nearby."
13781,branch_retrieval_style,0.1856843531131744,0.1363967061042785,0.0492876470088959,"A group of seven people gathered around a cluttered dining table, laughing and eating together in a casual indoor setting; visible are plates with food remnants, a green salad bowl, a bottle of beer, a can of soda, and a woman pouring a reddish liquid from a pitcher into a glass."
15922,main_subject_first,0.2534483969211578,0.2296952158212661,0.02375318109989169,"A smiling man with a beard is driving a red, open-frame dune buggy labeled ""Moto Rent Colombia"" on a paved road near a covered outdoor rental area with other vehicles and buildings in the background."
16753,no_inference,0.2685960233211517,0.2179586142301559,0.05063740909099579,"A woman with dark hair and a smile is standing with her arms outstretched. She is wearing a light yellow, long-sleeved, full-body garment that appears to be a surgical gown or protective coverall. The garment is covered with numerous handwritten signatures and drawings, including several handprints. She is wearing dark"
24836,branch_retrieval_style,0.2265913039445877,0.182247519493103,0.04434378445148471,"A woman in a black top and shorts sits on a concrete ledge, talking on her phone, while a group of people in blue scrubs sit and stand nearby on the same ledge in front of a brick and stone building with large windows."
27670,branch_supported_semantic,0.2163726389408111,0.1868209838867187,0.029551655054092407,"A person is standing over a black, round charcoal grill in a grassy outdoor area, placing raw hamburger patties onto the grill grate. The person is wearing a red short-sleeved shirt and blue jeans. Their hands are visible as they position the two round, raw meat patties on the grill. A metal"
29171,caption_for_retrieval,0.1533622741699218,0.1389953643083572,0.01436690986156458,"A male golfer in a navy blue shirt and beige pants is captured mid-swing on a lush green golf course, with tall trees and spectators in the background; he wears a white cap and black golf shoes, and the club is raised above his shoulder as he executes a powerful drive under an overcast sky."
