image_id,prompt_id,clip_score,baseline_clip_score,delta_clip,caption
1326,clip_friendly,0.3539426326751709,0.3434661626815796,0.010476469993591309,"A man in a sports jersey holds a megaphone and a black umbrella, standing beneath a cluster of directional signs pointing to various cities and landmarks, with a brick building in the background."
8484,branch_single_vs_multi_people,0.3082319796085357,0.2797788381576538,0.028453141450881902,"A man in a dark blazer and light shirt walks forward through a brightly lit supermarket aisle, carrying a blue plastic shopping basket in his right hand. Behind him, a group of shoppers—including a woman in a beige jacket holding a similar basket and another in a green jacket with an orange tote bag—moves along the same"
12623,main_subject_first,0.3606234788894653,0.3427976071834564,0.017825871706008856,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats."
13268,clip_friendly,0.4048374891281128,0.3698818981647491,0.0349555909633637,"A young boy in a Revolutionary War-style costume holds a toy rifle while another child lifts a hat above his head, both posing for a photo at an outdoor historical reenactment event."
13781,branch_supported_semantic,0.3388927280902862,0.3043276369571686,0.03456509113311762,"This is a candid, eye-level photograph of a group of seven young adults gathered around a long dining table, engaged in a lively meal. The setting appears to be a casual home or apartment, with plain white walls and a simple door visible in the background.

The group is actively interacting, with expressions of laughter and conversation"
15922,branch_supported_semantic,0.3497659862041473,0.3000148236751556,0.0497511625289917,"This is a daytime, outdoor photograph of a man sitting in the driver’s seat of a red, open-frame, three-wheeled dune buggy or go-kart. The man has short dark hair, a beard, and is smiling at the camera. He is wearing a green short-sleeved shirt and dark"
16753,branch_retrieval_style,0.3575926423072815,0.3234077095985412,0.03418493270874029,"A smiling Black woman stands in an office, wearing a light yellow, oversized surgical-style gown covered in handwritten signatures and drawings, with her arms spread wide to display it. Behind her, a framed picture of a tree hangs on the wall, and office furniture including filing cabinets, a desk, and a fan are visible."
24836,branch_semantic_uncertainty,0.3513357043266296,0.3175976574420929,0.03373804688453669,"A group of people in blue uniforms sits on a stone ledge outside a building, while a woman in a black top and shorts sits alone nearby, talking on her phone."
27670,no_inference,0.3882572054862976,0.3370434939861297,0.0512137115001679,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties."
29171,compact_grounded_detail,0.3293056190013885,0.3007171750068664,0.028588443994522095,"Golfer mid-swing on a lush green fairway, wearing a navy top, beige pants, and a white cap with blue logo, surrounded by spectators and tall trees under overcast skies."
