split_id,method_id,run_id,order,dataset_index,image_id,image_relpath,reference_captions,prompt_id,prompt_name,prompt_text,caption,candidate_id,selected,model,temperature,top_p,max_new_tokens,generation_config,clip_score,siglip_score,caption_len,generic_flag
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,3,26288,flickr30k_test_026288,images/flickr30k/flickr30k_test_026288.jpg,"[""A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand."", ""Black male dressed like he maybe homeless hovering over food."", ""A man cutting and skinning a fruit that has green skin."", ""A man is chopping up food on the ground."", ""A man is carving a melon.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Man in brown shirt crouches beside jackfruit on green leaves.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.34780487418174744,0.1768573522567749,10,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,6,8358,flickr30k_test_008358,images/flickr30k/flickr30k_test_008358.jpg,"[""This guy is in midair while wearing a red soccer uniform."", ""A soccer player in a red shirt in diving into the air."", ""A man wearing a red jersey jumps in the air."", ""A soccer player is diving for the ball."", ""A soccer player diving on the field.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Goalkeeper in red jersey with number one dives across grass field.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.3422985076904297,0.18977691233158112,11,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,15,6879,flickr30k_test_006879,images/flickr30k/flickr30k_test_006879.jpg,"[""A little boy in a blue soccer uniform walks, approaching a team member from the opposite team."", ""A boy in blue soccer shirt and shorts stands watching two other children play soccer."", ""A little boy with Adidas shorts and soccer cleats waits patiently."", ""A child is standing on the street and looking at some kid."", ""Little boy dressed in blue wearing cleats.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Child in blue soccer uniform stands near tree.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.33414697647094727,0.16206905245780945,8,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,25,25138,flickr30k_test_025138,images/flickr30k/flickr30k_test_025138.jpg,"[""A woman in a black stocking hat and black leather jacket, talking to a man with a beard in a black fleece jacket."", ""A girl in a black sock hat is talking to a man wearing a blue shirt."", ""A woman and man talking to each other in front of a scenic lake."", ""People talking to one another outside near a fountain."", ""A woman in a black beanie looks up at a bearded man.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Woman in black beanie and leather jacket stands near railing.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.2601858377456665,0.1355329304933548,10,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,31,26274,flickr30k_test_026274,images/flickr30k/flickr30k_test_026274.jpg,"[""A man in a black hat is rearing up on his brown horse while a crowd of people look on from a distance."", ""A man in a black cowboy hat holds on as his horse rears up."", ""A man on a horse galloping onto its back two feet."", ""Cowboy holding on to the horse"", ""Man riding a bucking bronco!""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Man in cowboy hat riding brown horse with “PAY” banner nearby.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.2558339238166809,0.10129380226135254,11,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,38,1002,flickr30k_test_001002,images/flickr30k/flickr30k_test_001002.jpg,"[""Someone wearing a large hat is sitting on colorful blankets working a loom with a pair of men's dress shoes in front of him."", ""An adult in brightly colored clothing and hat, is weaving or beading while sitting on brightly colored rugs."", ""A Hispanic person sitting among colorful fabric making a belt."", ""A gentleman in traditional garb weaving a blanket in a field."", ""A man works on weaving a cloth good for sale at the market.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Person in red hat and maroon jacket sits weaving on colorful blanket.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.30455681681632996,0.1779741644859314,12,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,40,833,flickr30k_test_000833,images/flickr30k/flickr30k_test_000833.jpg,"[""A beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight."", ""Kids play a game of ball with paddles at the water's edge at the beach."", ""Three children are playing paddle ball on the beach."", ""Three boys play with paddles on the beach."", ""Several children playing on a beach.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Child with blue paddle stands near water holding paddle.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.2375539094209671,0.10814647376537323,9,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,42,17741,flickr30k_test_017741,images/flickr30k/flickr30k_test_017741.jpg,"[""Two people sit on a bench overlooking a vast amount of windows."", ""Two people sitting on a bench in front of a large window."", ""Two people sitting looking at a glass wall."", ""Two people are siting on a black bench."", ""Two women sitting on a bench.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Two people sit on bench near large window.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.30886024236679077,0.21019227802753448,8,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,47,22494,flickr30k_test_022494,images/flickr30k/flickr30k_test_022494.jpg,"[""A man in an orange shirt and gray pants with white paint on them looks at the camera while standing near an orange ladder and a gray and white brick wall."", ""A house painter in clothes covered in paint pauses to look at the camera."", ""A man in an orange shirt with an orange ladder next to a brick wall."", ""A man in an orange shirt is holding a ladder."", ""A worker grabs a ladder to move it around.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Man in orange shirt holding orange ladder near brick wall.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.30752187967300415,0.1813204288482666,10,False
flickr30k_main_seed1_train,textgrad_clip,textgrad_clip__textgrad_16745112b6,53,7264,flickr30k_test_007264,images/flickr30k/flickr30k_test_007264.jpg,"[""Two ladies and a teenage girl all dressed in summer attire are bending down and laughing, showing a small puppy to a little girl."", ""The little girl in a flower dress is talking to the ladies on the street."", ""A woman teaching a young girl not to be afraid of puppies."", ""Three women and a little girl play with a small puppy."", ""A woman bends down and pets a young girl's dog.""]",textgrad_16745112b6,TextGrad Step 3,"Write exactly one literal, factual sentence (8–14 words) describing only visible content in the image. Preferred concise template: Primary subject + one or two high‑signal attribute(s) + action/pose + location/nearby object. High‑signal attributes = specific object type (e.g., fountain, electric guitar), visible color/pattern, clear count (two, three), clothing/accessory, or legible text/logo. Require at least one high‑signal token and permit a second when clearly visible. Place at least one high‑signal token within the first three words (e.g., subject immediately followed by attribute: “woman red bicycle …”). Keep attribute and noun adjacent (prefer “red bicycle” not “bicycle that is red”) and favor compact, noun‑rich phrasing; avoid filler words and adverbs. If text/logo is legible, include the exact text verbatim as a high‑signal token and place it early when natural. Use exact numerals when each item is fully visible; if >3 or indistinct use “several”; if uncertain, omit counts. Do not infer unseen attributes (age, emotion, relationships, intent) and do not use figurative, evaluative, or subjective language. Use “person” if gender or age is unclear; use “man,” “woman,” or “child” only when clearly visible. Output exactly one short sentence only — no labels, examples, lists, or extra text.",Woman in white top crouches near small dog on leash.,0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}",0.30336320400238037,0.18435612320899963,10,False
