image_id,image_path,base_prompt_id,base_caption,base_clip_score,best_prompt_id,best_caption,best_clip_score,delta_best_vs_base,worst_prompt_id,worst_caption,worst_clip_score,delta_worst_vs_base,base_clip_score,best_clip_score,worst_clip_score,base_siglip_score,best_siglip_score,worst_siglip_score
1326,results/sample_images/images/005_1326.jpg,baseline,A man in a sports jersey holds a megaphone and a black umbrella while standing beneath a cluster of directional signs pointing to various cities and landmarks.,0.3434661626815796,clip_friendly,"A man in a sports jersey holds a megaphone and a black umbrella, standing beneath a cluster of directional signs pointing to various cities and landmarks, with a brick building in the background.",0.3539426326751709,0.010476469993591309,anti_generic,"A man with short dark hair, wearing a black, yellow, and red sports jersey with the word “CARRY” on the chest, is standing outdoors. He is holding a red megaphone in his left hand and raising his right arm, gripping a black umbrella that is open and angled upward. He is looking",0.2610976099967956,-0.08236855268478399,0.3434661626815796,0.3539426326751709,0.2610976099967956,0.2511925995349884,0.2533512115478515,0.1943627744913101
8484,results/sample_images/images/006_8484.jpg,baseline,"A busy supermarket aisle filled with shoppers browsing products, some carrying baskets and bags, under bright fluorescent lighting.",0.2797788381576538,clip_friendly,"Shoppers browse and walk through a well-lit supermarket aisle, with one man in a suit carrying a blue basket, surrounded by stocked shelves and refrigerated displays.",0.3057928383350372,0.026014000177383367,short_phrase,Man walking through supermarket aisle with shopping basket.,0.259917676448822,-0.019861161708831787,0.2797788381576538,0.3057928383350372,0.259917676448822,0.1666999608278274,0.1754754930734634,0.1066794097423553
12623,results/sample_images/images/001_12623.jpg,baseline,"A bull rider clings on as a powerful black bull bucks wildly in a dusty rodeo arena, surrounded by spectators and yellow chutes.",0.3427976071834564,main_subject_first,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",0.3606234788894653,0.017825871706008856,anti_generic,"A black bull with large, curved horns is mid-stride, kicking up a cloud of brown dust as it charges forward. Its front hooves are lifted off the ground, and its head is lowered with its mouth slightly open. A rider wearing a dark cowboy hat, a plaid shirt, and jeans is mounted on",0.3175489604473114,-0.02524864673614502,0.3427976071834564,0.3606234788894653,0.3175489604473114,0.1681913584470749,0.1758879870176315,0.1651618629693985
13268,results/sample_images/images/009_13268.jpg,baseline,"A young boy in a historical costume holds a toy rifle while being assisted by another child, surrounded by adults in military-style attire at an outdoor event.",0.3698818981647491,clip_friendly,"A young boy in a Revolutionary War-style costume holds a toy rifle while another child lifts a hat above his head, both posing for a photo at an outdoor historical reenactment event.",0.4048374891281128,0.0349555909633637,short_phrase,A young boy in a historical costume holds a toy rifle while being assisted by another child.,0.3446545600891113,-0.025227338075637817,0.3698818981647491,0.4048374891281128,0.3446545600891113,0.2382384836673736,0.2318379133939743,0.2356082201004028
13781,results/sample_images/images/004_13781.jpg,baseline,"A group of friends is gathered around a dining table, enjoying a lively meal together with food, drinks, and animated conversation.",0.3043276369571686,main_subject_first,"A group of friends is gathered around a dining table, laughing and enjoying a lively meal together, with plates of food, drinks, and a large salad bowl on the table.",0.3369243741035461,0.03259673714637751,short_phrase,Friends enjoying a lively dinner party together.,0.2923835515975952,-0.011944085359573364,0.3043276369571686,0.3369243741035461,0.2923835515975952,0.1363967061042785,0.1399540156126022,0.139056771993637
15922,results/sample_images/images/008_15922.jpg,baseline,"A smiling man drives a red dune buggy with ""Moto Rent Colombia"" branding, parked under a red metal awning with other vehicles and equipment visible in the background.",0.3000148236751556,grounded_detail,"A man with short dark hair and a beard is smiling while seated in a red and black dune buggy. He is wearing a green t-shirt and gray shorts, and his hands are on the steering wheel. The buggy has a roll cage, black tires, and a white sign on the side that reads ""MOTO",0.3086211681365967,0.008606344461441096,object_action,"A smiling man is driving a red dune buggy with ""Moto Rent Colombia"" branding on a paved road near a covered outdoor rental facility.",0.2642192840576172,-0.0357955396175384,0.3000148236751556,0.3086211681365967,0.2642192840576172,0.2296952158212661,0.1615339517593383,0.2467983961105346
16753,results/sample_images/images/007_16753.jpg,baseline,A smiling woman in a hospital gown covered in signatures and drawings stands with arms outstretched in a medical office.,0.3234077095985412,main_subject_first,"A smiling Black woman stands in an office, proudly wearing a yellow surgical gown covered in handwritten signatures and drawings, with her arms spread wide to display the personalized garment.",0.3532899022102356,0.02988219261169439,grounded_detail,"A smiling woman stands in an office, wearing a yellow, long-sleeved gown covered in handwritten signatures and drawings. Her arms are spread wide, showcasing the decorated garment. Behind her, a framed picture of a tree hangs on the wall, and a patterned curtain is visible near a window. To her right,",0.2661596536636352,-0.057248055934906006,0.3234077095985412,0.3532899022102356,0.2661596536636352,0.2179586142301559,0.2439710795879364,0.2055025398731231
24836,results/sample_images/images/002_24836.jpg,baseline,"A group of students in blue uniforms sits on a stone ledge outside a school building, while a girl in a black top sits alone nearby talking on her phone.",0.3175976574420929,dense_visual,"A group of students in blue uniforms sits on a stone ledge outside a modern building, while a woman in a black top and shorts sits alone nearby, talking on her phone.",0.3437568545341491,0.02615919709205622,no_inference,"A group of people are sitting on a low, light-colored stone ledge in front of a building. The building has a light-colored stone facade with windows and a red brick section near the bottom. Some individuals are wearing blue shirts. One person on the right is sitting with their legs crossed, wearing a black top and shorts",0.286712110042572,-0.030885547399520874,0.3175976574420929,0.3437568545341491,0.286712110042572,0.182247519493103,0.1972659826278686,0.1748580038547516
27670,results/sample_images/images/000_27670.jpg,baseline,A person in a red shirt is placing raw burger patties onto a charcoal grill in a grassy backyard.,0.3370434939861297,no_inference,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",0.3882572054862976,0.0512137115001679,object_action,A person in a red shirt is placing raw burger patties onto a black charcoal grill in a grassy backyard.,0.336309403181076,-0.0007340908050537109,0.3370434939861297,0.3882572054862976,0.336309403181076,0.1868209838867187,0.2154802829027176,0.1882350295782089
29171,results/sample_images/images/003_29171.jpg,baseline,"A golfer in a navy shirt and beige pants is captured mid-swing on a lush green golf course, with spectators and trees in the background.",0.3007171750068664,grounded_detail,"A golfer in a navy blue shirt and beige pants is captured mid-swing on a lush green golf course, with a white cap and golf club raised above his head. The background features tall trees, a well-manicured fairway, and spectators seated along the edge of the course.",0.3166265785694122,0.015909403562545776,short_phrase,Golfer mid-swing on a lush green golf course.,0.2760353088378906,-0.024681866168975775,0.3007171750068664,0.3166265785694122,0.2760353088378906,0.1389953643083572,0.1254781633615493,0.143153965473175
