image_id,new_prompt_id,new_prompt_text,new_caption,new_clip,old_best_prompt,old_best_clip,old_best_caption,diff_vs_old_best
12623,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","A bull rider clings to a charging black bull in a dusty rodeo arena, framed by yellow chutes and spectators in cowboy hats.",0.3454580307006836,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.015165448188781683
12623,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A bull bucks wildly in a rodeo arena as a rider clings on, surrounded by yellow chutes and spectators in cowboy hats.",0.3248680830001831,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.03575539588928217
1326,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.",A man in a sports jersey uses a megaphone and holds an umbrella while standing under a directional signpost in a historic brick courtyard.,0.33808696269989014,clip_friendly,0.3539426326751709,"A man in a sports jersey holds a megaphone and a black umbrella, standing beneath a cluster of directional signs pointing to various cities and landmarks, with a brick building in the background.",-0.01585566997528076
1326,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A man in a sports jersey holds a megaphone and a black umbrella aloft while standing beneath a cluster of directional signs pointing to various cities, with a brick building and ivy-covered walls in the background.",0.3412766456604004,clip_friendly,0.3539426326751709,"A man in a sports jersey holds a megaphone and a black umbrella, standing beneath a cluster of directional signs pointing to various cities and landmarks, with a brick building in the background.",-0.012665987014770508
13268,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","A young boy in a colonial-style costume holds a replica rifle while adjusting a large hat, standing beside a table with military gear in an outdoor historical reenactment scene.",0.3701024651527405,clip_friendly,0.4048374891281128,"A young boy in a Revolutionary War-style costume holds a toy rifle while another child lifts a hat above his head, both posing for a photo at an outdoor historical reenactment event.",-0.034735023975372314
13268,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A young boy in a historical costume holds a rifle while being assisted by another child adjusting his hat, set against a backdrop of military gear and adults in uniform at an outdoor event.",0.37346959114074707,clip_friendly,0.4048374891281128,"A young boy in a Revolutionary War-style costume holds a toy rifle while another child lifts a hat above his head, both posing for a photo at an outdoor historical reenactment event.",-0.03136789798736572
13781,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","Friends enjoying a lively dinner party around a cluttered table, sharing food and drinks with animated conversation.",0.29567667841911316,main_subject_first,0.3369243741035461,"A group of friends is gathered around a dining table, laughing and enjoying a lively meal together, with plates of food, drinks, and a large salad bowl on the table.",-0.04124769568443293
13781,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A group of friends is laughing and enjoying a lively dinner together around a cluttered table filled with food, drinks, and a large green salad bowl.",0.3334674835205078,main_subject_first,0.3369243741035461,"A group of friends is gathered around a dining table, laughing and enjoying a lively meal together, with plates of food, drinks, and a large salad bowl on the table.",-0.0034568905830382746
15922,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","A man smiles while driving a red dune buggy in an outdoor rental yard, with a ""Moto Rent Colombia"" sign visible on the vehicle.",0.3034384250640869,grounded_detail,0.3086211681365967,"A man with short dark hair and a beard is smiling while seated in a red and black dune buggy. He is wearing a green t-shirt and gray shorts, and his hands are on the steering wheel. The buggy has a roll cage, black tires, and a white sign on the side that reads ""MOTO",-0.005182743072509766
15922,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A smiling man drives a red dune buggy with a ""Moto Rent Colombia"" sign, parked under a red metal awning with a motorcycle visible in the background.",0.2687011957168579,grounded_detail,0.3086211681365967,"A man with short dark hair and a beard is smiling while seated in a red and black dune buggy. He is wearing a green t-shirt and gray shorts, and his hands are on the steering wheel. The buggy has a roll cage, black tires, and a white sign on the side that reads ""MOTO",-0.03991997241973877
16753,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","A smiling woman in a hospital gown stands with arms outstretched, wearing a yellow surgical gown covered in handwritten messages and signatures, in a clinical office setting with filing cabinets and a potted plant nearby.",0.28421908617019653,main_subject_first,0.3532899022102356,"A smiling Black woman stands in an office, proudly wearing a yellow surgical gown covered in handwritten signatures and drawings, with her arms spread wide to display the personalized garment.",-0.06907081604003906
16753,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A smiling woman in a yellow surgical gown covered in signatures and drawings stands with arms outstretched in a medical office, surrounded by filing cabinets and a potted plant.",0.29393067955970764,main_subject_first,0.3532899022102356,"A smiling Black woman stands in an office, proudly wearing a yellow surgical gown covered in handwritten signatures and drawings, with her arms spread wide to display the personalized garment.",-0.059359222650527954
24836,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","A group of students in blue uniforms sits on a stone ledge outside a school building, while one girl in a black top talks on her phone.",0.3175148367881775,dense_visual,0.3437568545341491,"A group of students in blue uniforms sits on a stone ledge outside a modern building, while a woman in a black top and shorts sits alone nearby, talking on her phone.",-0.026242017745971624
24836,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A group of students in blue uniforms sits on a stone ledge outside a school building, while a girl in a black top talks on her phone nearby.",0.3155575394630432,dense_visual,0.3437568545341491,"A group of students in blue uniforms sits on a stone ledge outside a modern building, while a woman in a black top and shorts sits alone nearby, talking on her phone.",-0.0281993150711059
27670,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.",A person grilling burger patties on a black charcoal grill in a grassy backyard.,0.3312035799026489,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.05705362558364868
27670,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.",A person in a red shirt places raw burger patties onto a black charcoal grill in a grassy backyard.,0.3491710424423218,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.03908616304397583
29171,focused_semantic_anchors,"Write a concise caption that names the main subject, action, scene type, and the most distinctive visible objects. Keep the caption focused and avoid minor object lists.","Golfer mid-swing on a lush golf course, with trees and spectators in the background.",0.28307175636291504,grounded_detail,0.3166265785694122,"A golfer in a navy blue shirt and beige pants is captured mid-swing on a lush green golf course, with a white cap and golf club raised above his head. The background features tall trees, a well-manicured fairway, and spectators seated along the edge of the course.",-0.03355482220649714
29171,subject_action_anchors,"Describe the image in one concise, visually grounded sentence. Start with the main subject and action, then add 2-3 salient visible details about the setting or important objects. Avoid listing minor details.","A golfer in a navy shirt and beige pants is mid-swing on a lush green fairway, with tall trees and spectators lining the course in the background.",0.2882215678691864,grounded_detail,0.3166265785694122,"A golfer in a navy blue shirt and beige pants is captured mid-swing on a lush green golf course, with a white cap and golf club raised above his head. The background features tall trees, a well-manicured fairway, and spectators seated along the edge of the course.",-0.028405010700225775
