image_id,image_path,base_prompt_id,base_caption,base_siglip_score,best_prompt_id,best_caption,best_siglip_score,delta_best_vs_base,worst_prompt_id,worst_caption,worst_siglip_score,delta_worst_vs_base,base_clip_score,best_clip_score,worst_clip_score,base_siglip_score,best_siglip_score,worst_siglip_score
1326,results/sample_images/images/005_1326.jpg,baseline,A man in a sports jersey holds a megaphone and a black umbrella while standing beneath a cluster of directional signs pointing to various cities and landmarks.,0.2511925995349884,grounded_detail,"A man in a black, yellow, and red sports jersey with the name ""CARRY"" on the front is holding a red megaphone in one hand and a black umbrella in the other, raising his arm upward. He stands beneath a large, multi-directional signpost with various street names and distances, including",0.2654493451118469,0.01425674557685852,anti_generic,"A man with short dark hair, wearing a black, yellow, and red sports jersey with the word “CARRY” on the chest, is standing outdoors. He is holding a red megaphone in his left hand and raising his right arm, gripping a black umbrella that is open and angled upward. He is looking",0.1943627744913101,-0.05682982504367831,0.3434661626815796,0.3180287182331085,0.2610976099967956,0.2511925995349884,0.2654493451118469,0.1943627744913101
8484,results/sample_images/images/006_8484.jpg,baseline,"A busy supermarket aisle filled with shoppers browsing products, some carrying baskets and bags, under bright fluorescent lighting.",0.1666999608278274,anti_generic,"In a brightly lit supermarket aisle, a man in a dark suit and white shirt walks forward, holding a blue plastic shopping basket in his right hand. He is looking slightly to his left. Behind him, a group of shoppers is clustered near the end of the aisle. A woman in a beige jacket and dark pants carries",0.1801273673772812,0.01342740654945379,short_phrase,Man walking through supermarket aisle with shopping basket.,0.1066794097423553,-0.06002055108547209,0.2797788381576538,0.2907691597938537,0.259917676448822,0.1666999608278274,0.1801273673772812,0.1066794097423553
12623,results/sample_images/images/001_12623.jpg,baseline,"A bull rider clings on as a powerful black bull bucks wildly in a dusty rodeo arena, surrounded by spectators and yellow chutes.",0.1681913584470749,main_subject_first,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",0.1758879870176315,0.007696628570556613,short_phrase,"A bull bucks wildly during a rodeo event, kicking up dust as a rider clings on.",0.1448769569396972,-0.02331440150737768,0.3427976071834564,0.3606234788894653,0.3341927230358124,0.1681913584470749,0.1758879870176315,0.1448769569396972
13268,results/sample_images/images/009_13268.jpg,baseline,"A young boy in a historical costume holds a toy rifle while being assisted by another child, surrounded by adults in military-style attire at an outdoor event.",0.2382384836673736,grounded_detail,"A young boy in a red coat and tricorn hat holds a replica rifle, standing beside another child in a brown jacket who is adjusting the hat. Behind them, a man in a military-style jacket and vest stands near a table covered with camouflage fabric, displaying military gear including helmets and bags. Other people, including a",0.2618884146213531,0.023649930953979492,no_inference,"A young boy in a brown jacket and blue jeans is holding up a large, brown, wide-brimmed hat. He is standing next to another young boy wearing a red coat, white pants, a tricorn hat, and glasses. The second boy is holding a rifle with a bayonet. Behind them, a",0.2044639885425567,-0.033774495124816895,0.3698818981647491,0.3812776207923889,0.3518995642662048,0.2382384836673736,0.2618884146213531,0.2044639885425567
13781,results/sample_images/images/004_13781.jpg,baseline,"A group of friends is gathered around a dining table, enjoying a lively meal together with food, drinks, and animated conversation.",0.1363967061042785,anti_generic,"A group of seven people are gathered around a cluttered dining table, engaged in a lively meal. On the table, there are multiple plates with remnants of food, including a partially eaten sausage on a white plate. A green plastic bowl filled with a salad sits near the center, alongside a clear plastic container holding a red",0.176654577255249,0.04025787115097049,object_action,"A group of friends is gathered around a dining table, laughing and enjoying a lively meal together in a casual home setting.",0.1212568581104278,-0.015139847993850708,0.3043276369571686,0.3132916092872619,0.3282300233840942,0.1363967061042785,0.176654577255249,0.1212568581104278
15922,results/sample_images/images/008_15922.jpg,baseline,"A smiling man drives a red dune buggy with ""Moto Rent Colombia"" branding, parked under a red metal awning with other vehicles and equipment visible in the background.",0.2296952158212661,main_subject_first,"A smiling man with a beard is driving a red, open-frame dune buggy labeled ""Moto Rent Colombia"" on a paved road near a covered outdoor rental area with other vehicles and buildings in the background.",0.2534483969211578,0.02375318109989169,no_inference,"A man is seated in a red, open-frame, three-wheeled vehicle with a black roll cage. He is wearing a green short-sleeved shirt and shorts. His right hand is on the steering wheel, and his left hand is on the gear shift. The vehicle has a white sign on the side with",0.1249275505542755,-0.10476766526699059,0.3000148236751556,0.3054606318473816,0.3008502125740051,0.2296952158212661,0.2534483969211578,0.1249275505542755
16753,results/sample_images/images/007_16753.jpg,baseline,A smiling woman in a hospital gown covered in signatures and drawings stands with arms outstretched in a medical office.,0.2179586142301559,no_inference,"A woman with dark hair and a smile is standing with her arms outstretched. She is wearing a light yellow, long-sleeved, full-body garment that appears to be a surgical gown or protective coverall. The garment is covered with numerous handwritten signatures and drawings, including several handprints. She is wearing dark",0.2685960233211517,0.05063740909099579,dense_visual,"A smiling Black woman stands in an office environment with her arms outstretched, wearing a yellow surgical gown covered in handwritten signatures and drawings, surrounded by filing cabinets, a desk, and a framed picture on the wall.",0.1989694535732269,-0.01898916065692899,0.3234077095985412,0.2998479604721069,0.3160822093486786,0.2179586142301559,0.2685960233211517,0.1989694535732269
24836,results/sample_images/images/002_24836.jpg,baseline,"A group of students in blue uniforms sits on a stone ledge outside a school building, while a girl in a black top sits alone nearby talking on her phone.",0.182247519493103,grounded_detail,"A group of people, mostly wearing blue shirts, are seated on a wide stone ledge in front of a building with large windows and brick accents. One woman in a black top and shorts sits on the ledge, talking on her phone. A few individuals are looking down at their phones or interacting with each other. A tall",0.2179581522941589,0.03571063280105591,no_inference,"A group of people are sitting on a low, light-colored stone ledge in front of a building. The building has a light-colored stone facade with windows and a red brick section near the bottom. Some individuals are wearing blue shirts. One person on the right is sitting with their legs crossed, wearing a black top and shorts",0.1748580038547516,-0.007389515638351413,0.3175976574420929,0.2968940138816833,0.286712110042572,0.182247519493103,0.2179581522941589,0.1748580038547516
27670,results/sample_images/images/000_27670.jpg,baseline,A person in a red shirt is placing raw burger patties onto a charcoal grill in a grassy backyard.,0.1868209838867187,no_inference,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",0.2154802829027176,0.028659299015998896,two_sentence_detail,"A person in a red shirt is placing raw burger patties onto a black charcoal grill in a grassy backyard. The scene captures a casual outdoor cooking moment, with the grill lid resting nearby and the person’s hands actively arranging the meat.",0.1848951578140258,-0.0019258260726928988,0.3370434939861297,0.3882572054862976,0.3595269918441772,0.1868209838867187,0.2154802829027176,0.1848951578140258
29171,results/sample_images/images/003_29171.jpg,baseline,"A golfer in a navy shirt and beige pants is captured mid-swing on a lush green golf course, with spectators and trees in the background.",0.1389953643083572,two_sentence_detail,"A golfer in a navy shirt and beige pants is captured mid-swing on a lush green golf course, with a white cap and golf club raised high. The setting features a well-manicured fairway, tall trees in the background, and spectators lining the course, indicating a professional or competitive event.",0.1486657857894897,0.00967042148113248,grounded_detail,"A golfer in a navy blue shirt and beige pants is captured mid-swing on a lush green golf course, with a white cap and golf club raised above his head. The background features tall trees, a well-manicured fairway, and spectators seated along the edge of the course.",0.1254781633615493,-0.013517200946807917,0.3007171750068664,0.3063271045684814,0.3166265785694122,0.1389953643083572,0.1486657857894897,0.1254781633615493
