image_id,image_path,new_prompt_id,new_prompt_text,new_caption,new_clip,old_best_prompt,old_best_clip,old_best_caption,diff_vs_old_best,win_vs_old_best
27670,results/sample_images/images/000_27670.jpg,clip_friendly_bg,"Write a concise caption that closely matches the visible content of the image, including the main subject, action, setting, and important background details.",A person in a red shirt and jeans places raw burger patties onto a black charcoal grill in a grassy backyard.,0.3431627154350281,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.04509449005126953,False
27670,results/sample_images/images/000_27670.jpg,natural_subject_scene,"Describe the image in one natural sentence, mentioning the main subject, action, setting, and key visible objects.",A person in a red shirt and jeans is placing raw burger patties onto the grill of a black charcoal barbecue in a grassy backyard.,0.35000720620155334,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.03824999928474426,False
27670,results/sample_images/images/000_27670.jpg,scene_anchored,"Write a one-sentence caption that clearly identifies the scene, the main visible subjects, and their actions.",A person in a red shirt and jeans is placing raw hamburger patties onto the grill of a black charcoal barbecue in a grassy backyard.,0.346958190202713,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.041299015283584595,False
27670,results/sample_images/images/000_27670.jpg,contextual_objects,"Describe the image concisely, including the main subject, action, and visible objects that define the scene.","A person in a red shirt and jeans is placing raw hamburger patties onto the grill grates of a black charcoal grill in a grassy backyard. The grill lid rests nearby on the grass, and the person’s hands are actively positioning the patties for cooking.",0.38323265314102173,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.005024552345275879,False
27670,results/sample_images/images/000_27670.jpg,flickr_style_grounded,"Write a Flickr-style caption for this image, focusing on visible people, objects, actions, and setting.","Grilling up some juicy burgers on a sunny afternoon! 🍔🔥 A person in a red shirt and jeans carefully places patties on a black charcoal grill, surrounded by lush green grass. Perfect backyard BBQ vibes. #GrillMaster #BackyardBBQ #SummerVibes #HamburgerTime #Outdoor",0.2857222855091095,no_inference,0.3882572054862976,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",-0.10253491997718811,False
12623,results/sample_images/images/001_12623.jpg,clip_friendly_bg,"Write a concise caption that closely matches the visible content of the image, including the main subject, action, setting, and important background details.","A bull rider clings on as a powerful black bull bucks wildly in a dusty rodeo arena, kicking up dirt near yellow chutes with spectators and other cowboys watching from the sidelines.",0.3309122622013092,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.029711216688156072,False
12623,results/sample_images/images/001_12623.jpg,natural_subject_scene,"Describe the image in one natural sentence, mentioning the main subject, action, setting, and key visible objects.","A bull rider, gripping tightly as he’s thrown from his bucking bull, is captured mid-action in a dusty rodeo arena surrounded by yellow chutes and spectators in cowboy hats.",0.33762380480766296,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.022999674081802313,False
12623,results/sample_images/images/001_12623.jpg,scene_anchored,"Write a one-sentence caption that clearly identifies the scene, the main visible subjects, and their actions.","A bull rider clings desperately to a bucking black bull as it leaps powerfully out of a yellow chute, kicking up dust in a rodeo arena.",0.35031658411026,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.010306894779205267,False
12623,results/sample_images/images/001_12623.jpg,contextual_objects,"Describe the image concisely, including the main subject, action, and visible objects that define the scene.","A bull rider, wearing a cowboy hat and plaid shirt, is clinging to a powerful, dark bull as it bursts out of a yellow chute, kicking up dust in a rodeo arena. The bull’s horns are curved and prominent, and the rider is holding on tightly with one hand while the other is raised.",0.3535670340061188,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.007056444883346502,False
12623,results/sample_images/images/001_12623.jpg,flickr_style_grounded,"Write a Flickr-style caption for this image, focusing on visible people, objects, actions, and setting.","Rodeo chaos in full swing! A determined bull rider clings on as a powerful black bull bucks and charges through the dusty arena, kicking up dirt in a cloud of adrenaline. Spectators in cowboy hats watch from the yellow chutes, some leaning forward in excitement, while others stand back, eyes wide. The",0.32566356658935547,main_subject_first,0.3606234788894653,"A bull rider clings desperately to a bucking black bull as it leaps powerfully upward in a dusty rodeo arena, surrounded by yellow chutes and spectators in cowboy hats.",-0.03495991230010981,False
