order,dataset_index,image_id,image_path,reference_captions,prompt_id,prompt_name,prompt_text,caption,clip_score,siglip_score,caption_len,generic_flag,temperature,top_p,max_new_tokens,caption_model,seed,split
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",baseline,Baseline,Describe the image in one concise sentence.,A person in a red shirt is placing raw burger patties onto a charcoal grill in a grassy backyard.,0.33704349398612976,0.18682098388671875,19,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",object_action,Object-action,"Describe the image by naming the main visible subject, action, and setting in one sentence.",A person in a red shirt is placing raw burger patties onto a black charcoal grill in a grassy backyard.,0.33630940318107605,0.18823502957820892,20,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",grounded_detail,Grounded detail,"Generate a visually grounded caption. Mention only objects, actions, and scene details clearly visible in the image.","A person in a red shirt and blue jeans is placing raw hamburger patties onto the grill grate of a black charcoal grill. The grill is situated on a grassy lawn, and the person's hands are actively positioning the patties. A metal tool, likely a spatula or tongs, rests on the edge of",0.36076268553733826,0.20760004222393036,53,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",anti_generic,Anti-generic,Describe the image with concrete visible objects and actions. Avoid generic descriptions.,"A person wearing a red t-shirt and blue jeans is placing two raw, round, pinkish-brown hamburger patties onto the grates of a black, round charcoal grill. Their hands are positioned over the grill, with fingers pressing down on the patties. The grill has a metal handle on its right side and",0.35619470477104187,0.21245285868644714,51,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",main_subject_first,Main subject first,"Describe the image in one sentence. Start with the main subject, then describe the action and surrounding scene.",A person in a red shirt and jeans is placing raw burger patties onto the grill of a black charcoal barbecue in a grassy backyard.,0.35000720620155334,0.19218358397483826,25,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",clip_friendly,CLIP-friendly,"Write a concise caption that closely matches the visible content of the image, including the main subject, action, and scene.",A person in a red shirt places raw burger patties onto a charcoal grill in a grassy backyard.,0.3507519066333771,0.18810488283634186,18,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",no_inference,No inference,"Describe only what can be directly seen in the image. Do not infer unseen events, intentions, or identities.","A person wearing a red shirt and blue jeans is placing raw hamburger patties onto a black, round charcoal grill. The grill is situated on a grassy area. The lid of the grill is on the ground to the left. The person's hands are visible as they handle the patties.",0.3882572054862976,0.2154802829027176,50,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",dense_visual,Dense visual caption,"Describe the image in one specific sentence including the main subject, action, setting, and important visible objects.",A person in a red shirt and jeans is placing raw hamburger patties onto the grill grates of a black charcoal grill in a grassy backyard.,0.34150660037994385,0.19884201884269714,26,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",short_phrase,Short phrase,Describe the image in a short phrase focusing on the main visible subject and action.,Person placing burger patties on a charcoal grill.,0.341541051864624,0.19712385535240173,8,False,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",two_sentence_detail,Two-sentence detail,"Describe the image in two short sentences. Mention the main subject, action, setting, and key visible objects.","A person in a red shirt is placing raw burger patties onto a black charcoal grill in a grassy backyard. The scene captures a casual outdoor cooking moment, with the grill lid resting nearby and the person’s hands actively arranging the meat.",0.35952699184417725,0.18489515781402588,42,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",salient_anchor,Salient anchor,"Describe the image by first identifying the most visually distinctive subject, object, or scene anchor, then add the key visible action and setting in one sentence.","The most visually distinctive subject is the person placing raw burger patties onto a black charcoal grill. A person in a red shirt and blue jeans is actively grilling burgers on a round, black charcoal grill in a grassy backyard.",0.3246055841445923,0.21198853850364685,40,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",discriminative_detail,Discriminative detail,"Write a caption that distinguishes this image from a generic image of the same scene by mentioning the most specific visible objects, colors, actions, or spatial details.","A person in a red shirt with a visible “FIRE” logo and blue jeans is carefully placing two raw, pinkish-brown burger patties onto the grates of a black, round charcoal grill, with the grill’s lid resting nearby on the grass and a metal tool handle peeking out from behind the grill",0.3509429693222046,0.19820845127105713,51,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",anchor_then_context,Anchor then context,"Describe the main visual anchor first, then briefly describe the supporting objects, people, and background context that make the scene recognizable.","The main visual anchor is a person placing raw hamburger patties onto the grates of a black, round charcoal grill. The person, whose torso and arms are visible, is wearing a red t-shirt and blue jeans, and is leaning over the grill with their hands actively positioning the meat.

Supporting elements include:
-",0.32737720012664795,0.22222045063972473,53,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",scene_state,Scene state,"Describe the current state of the scene using concrete visible evidence, such as object placement, ongoing actions, clutter, traces of activity, or environmental details.","Based on the visible evidence in the image, here is a concrete description of the current state of the scene:

- **Primary Action**: A person is actively placing raw hamburger patties onto the grill grates of a black, round charcoal grill. Their hands are positioned over the grill, with fingers pressing down on the patt",0.31999531388282776,0.2186799943447113,55,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",role_structure,Role structure,"For images with multiple people or objects, describe the central subject first, then explain the visible roles or interactions of the surrounding subjects in one concise caption.","A person in a red shirt is placing raw burger patties onto a charcoal grill in a grassy backyard, with the grill lid resting nearby.",0.3547658324241638,0.1857755482196808,25,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",specific_not_verbose,Specific not verbose,"Write one specific caption that includes the most important visible details, but avoid listing minor details that do not help identify the image.",A person in a red shirt and blue jeans places raw burger patties onto a black charcoal grill in a grassy backyard.,0.3449384570121765,0.19863444566726685,22,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",grounded_semantic,Grounded semantic,Describe the image with concrete visible details while also using reasonable scene-level terms when they are clearly supported by the image.,"A person, wearing a red T-shirt and blue jeans, is placing raw hamburger patties onto the grill grate of a black, round charcoal grill. Their hands are positioned over the grill, with fingers pressing down on the meat as they arrange it. The grill is situated on a patch of green grass, and a metal",0.3713639974594116,0.2136213332414627,55,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",avoid_mood_summary,Avoid mood summary,"Avoid broad mood or event summaries. Instead, describe the visible subjects, objects, actions, and scene details that directly support the caption.","A person wearing a red shirt and blue jeans is standing over a black, round charcoal grill placed on a grassy lawn. Their hands are positioned over the grill grates, placing or adjusting two raw, round, pinkish-brown burger patties onto the grill. The grill has a metal handle on its side and",0.3515614867210388,0.19746258854866028,52,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",uncertainty_aware,Uncertainty-aware,"Describe the clearly visible subjects, objects, actions, and setting. Avoid confidently naming ambiguous object states or identities unless they are visually clear.","A person wearing a red shirt and blue jeans is standing over a black, round charcoal grill in a grassy outdoor area. The person is using both hands to place or adjust two raw, round, pinkish-brown burger patties onto the grill grates. The grill has a metal handle on its side and a",0.3741455674171448,0.21453897655010223,53,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",ctx_main_anchor,Context: main anchor,"Captioning context: The caption should be built around the most visually dominant anchor in the image, such as the main person, object, action, or scene-defining structure. Describe the image in one concise sentence using that anchor first.",A person in a red shirt is carefully placing raw burger patties onto a black charcoal grill in a grassy backyard.,0.33722370862960815,0.19033022224903107,21,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",ctx_anchor_detail_context,Context: anchor-detail-context,"Captioning context: Use a three-part structure: first the main visual anchor, then the most concrete visible details, then only the background context needed to identify the scene. Write one visually grounded caption.","A person places raw burger patties onto a black charcoal grill. Their hands are positioned over the grates, pressing down on two round, pinkish meat patties. The grill has a metal handle and sits on grass, with a black lid resting nearby. The person wears a red shirt and blue jeans, and the",0.3462812006473541,0.22077196836471558,53,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",ctx_avoid_generic_scene,Context: avoid generic scene,"Captioning context: Do not stop at a generic scene label such as a group of people, a meal, a store, or an event. Include the concrete visible objects, actions, colors, or spatial details that distinguish this image. Write one concise caption.",A person in a red shirt and blue jeans places raw burger patties onto the grates of a black charcoal grill in a grassy backyard.,0.3512120246887207,0.20204150676727295,25,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",ctx_foreground_priority,Context: foreground priority,"Captioning context: If there is a clear foreground subject, describe that subject first, including what they are holding, wearing, or doing. Then briefly mention the surrounding scene. Write one sentence.",A person in a red shirt and jeans is placing raw burger patties onto a black charcoal grill in a grassy backyard.,0.3374258875846863,0.19541619718074799,22,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",ctx_shared_scene_state,Context: shared scene state,"Captioning context: For scenes with multiple people or many objects, focus on the shared visual state of the scene: object placement, visible activity, food, tools, signs, equipment, clutter, or traces of action. Write one grounded caption.",A person in a red shirt and jeans is placing raw burger patties onto the grill grates of a black charcoal grill in a grassy backyard.,0.3463210463523865,0.19702409207820892,26,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
0,27670,27670,results/sample_images/images/000_27670.jpg,"[""A person places uncooked hamburger patties on a charcoal grill."", ""A person wearing a red shirt is cooking on a grill."", ""A person setting beef patties on a grill."", ""A man adjusts beef patties on a grill."", ""Someone putting food on a grill.""]",ctx_supported_semantic,Context: supported semantic,"Captioning context: Use scene-level terms when they are clearly supported by visible evidence, such as historical costume, military-style display, rodeo arena, supermarket aisle, or dining table. Avoid unsupported identities or intentions. Write one caption.",A person places raw burger patties onto a charcoal grill in a grassy backyard.,0.35624730587005615,0.19084012508392334,14,True,0.0,,64,Qwen/Qwen3-VL-8B-Instruct,0,test
